Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1544486400000,0.02617600,0.02653400,0.02515700,0.02596200,170092.13200000,1544572799999,4425.40333708,110306,88369.30700000,2300.70555436,0
1544572800000,0.02595700,0.02635900,0.02582700,0.02595400,163830.14800000,1544659199999,4273.20343403,109234,87388.70900000,2279.86631118,0
1544659200000,0.02595500,0.02653600,0.02581100,0.02614800,209169.86400000,1544745599999,5475.02279855,117388,95154.02700000,2491.26159987,0
1544745600000,0.02616400,0.02630500,0.02581500,0.02600000,228967.56000000,1544831999999,5976.65084831,134938,139899.55000000,3652.47095090,0
1544832000000,0.02600100,0.02616300,0.02585300,0.02607600,154288.11500000,1544918399999,4018.28046548,111725,79919.10000000,2081.79388403,0
1544918400000,0.02608500,0.02675300,0.02607700,0.02623100,137636.49300000,1545004799999,3643.02826901,104894,72875.20400000,1928.64136162,0
1545004800000,0.02623200,0.02716100,0.02616100,0.02680100,254595.16400000,1545091199999,6764.29997040,162753,140342.34800000,3729.73559790,0
1545091200000,0.02680100,0.02758600,0.02641500,0.02749300,347066.62600000,1545177599999,9286.57631792,190263,204617.14400000,5470.74558085,0
1545177600000,0.02749300,0.02825000,0.02688100,0.02695400,430273.58100000,1545263999999,11790.20830470,252460,243897.33000000,6688.30854885,0
1545264000000,0.02695800,0.02866500,0.02675100,0.02809400,392753.55600000,1545350399999,10772.93300906,245762,207407.50400000,5696.09175296,0
1545350400000,0.02808700,0.02874700,0.02750100,0.02805900,331529.63200000,1545436799999,9361.44760642,241293,179052.77400000,5055.12247882,0
1545436800000,0.02805100,0.02940000,0.02779100,0.02916500,209087.61600000,1545523199999,5978.67283671,178523,106505.62100000,3044.35485497,0
1545523200000,0.02916200,0.03312500,0.02913300,0.03283700,455408.70500000,1545609599999,14539.07952266,288866,227928.22900000,7282.23992123,0
1545609600000,0.03284500,0.03767200,0.03274500,0.03445500,585615.65000000,1545695999999,20637.68070785,384754,306660.03700000,10813.56550512,0
1545696000000,0.03446800,0.03473200,0.03290700,0.03407000,390213.90700000,1545782399999,13194.65538746,247063,201765.65000000,6823.76938429,0
1545782400000,0.03406900,0.03534400,0.03340900,0.03424200,291513.20100000,1545868799999,9989.88688269,196995,151795.16300000,5199.19620271,0
